Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.88      1.39     0.02   596083     0.00     0.00  void std::_Construct<game::Move<game::penguin::BoardCell, game::penguin::PenguinPawn>, game::Move<game::penguin::BoardCell, game::penguin::PenguinPawn> >(game::Move<game::penguin::BoardCell, game::penguin::PenguinPawn>*, game::Move<game::penguin::BoardCell, game::penguin::PenguinPawn>&&)
  0.88      1.40     0.02   479584     0.00     0.00  game::penguin::PenguinGame::getAvailableMoves(game::penguin::HumanPlayer*)::{lambda(game::penguin::BoardCell*)#1}::operator()(game::penguin::BoardCell*) const
  0.58      1.41     0.01  2249630     0.00     0.00  game::Move<game::penguin::BoardCell, game::penguin::PenguinPawn>&& std::forward<game::Move<game::penguin::BoardCell, game::penguin::PenguinPawn> >(std::remove_reference<game::Move<game::penguin::BoardCell, game::penguin::PenguinPawn> >::type&)
  0.58      1.42     0.01  2021982     0.00     0.00  std::move_iterator<game::Move<game::penguin::BoardCell, game::penguin::PenguinPawn>*>::base() const
  0.58      1.43     0.01   623851     0.00     0.00  __gnu_cxx::new_allocator<game::Move<game::penguin::BoardCell, game::penguin::PenguinPawn> >::max_size() const
  0.58      1.44     0.01   604292     0.00     0.00  game::Move<game::penguin::BoardCell, game::penguin::PenguinPawn>* std::__addressof<game::Move<game::penguin::BoardCell, game::penguin::PenguinPawn> >(game::Move<game::penguin::BoardCell, game::penguin::PenguinPawn>&)
  0.58      1.45     0.01   592116     0.00     0.00  std::move_iterator<game::Move<game::penguin::BoardCell, game::penguin::PenguinPawn>*>::operator++()
  0.58      1.46     0.01   578334     0.00     0.00  bool __gnu_cxx::operator!=<game::penguin::BoardCell**, std::vector<game::penguin::BoardCell*, std::allocator<game::penguin::BoardCell*> > >(__gnu_cxx::__normal_iterator<game::penguin::BoardCell**, std::vector<game::penguin::BoardCell*, std::allocator<game::penguin::BoardCell*> > > const&, __gnu_cxx::__normal_iterator<game::penguin::BoardCell**, std::vector<game::penguin::BoardCell*, std::allocator<game::penguin::BoardCell*> > > const&)
  0.58      1.47     0.01   489051     0.00     0.00  __gnu_cxx::__normal_iterator<mcts::Node<game::penguin::BoardCell, game::penguin::PenguinPawn>**, std::vector<mcts::Node<game::penguin::BoardCell, game::penguin::PenguinPawn>*, std::allocator<mcts::Node<game::penguin::BoardCell, game::penguin::PenguinPawn>*> > >::__normal_iterator(mcts::Node<game::penguin::BoardCell, game::penguin::PenguinPawn>** const&)
  0.58      1.48     0.01   475127     0.00     0.00  void std::vector<game::Move<game::penguin::BoardCell, game::penguin::PenguinPawn>, std::allocator<game::Move<game::penguin::BoardCell, game::penguin::PenguinPawn> > >::emplace_back<game::Move<game::penguin::BoardCell, game::penguin::PenguinPawn> >(game::Move<game::penguin::BoardCell, game::penguin::PenguinPawn>&&)
  0.58      1.49     0.01   466735     0.00     0.00  __gnu_cxx::__normal_iterator<game::penguin::BoardCell**, std::vector<game::penguin::BoardCell*, std::allocator<game::penguin::BoardCell*> > >::operator*() const
  0.58      1.50     0.01   420499     0.00     0.00  __gnu_cxx::__normal_iterator<game::Move<game::penguin::BoardCell, game::penguin::PenguinPawn>*, std::vector<game::Move<game::penguin::BoardCell, game::penguin::PenguinPawn>, std::allocator<game::Move<game::penguin::BoardCell, game::penguin::PenguinPawn> > > >::__normal_iterator(game::Move<game::penguin::BoardCell, game::penguin::PenguinPawn>* const&)
  0.58      1.51     0.01   416020     0.00     0.00  game::Move<game::penguin::BoardCell, game::penguin::PenguinPawn>* std::uninitialized_copy<std::move_iterator<game::Move<game::penguin::BoardCell, game::penguin::PenguinPawn>*>, game::Move<game::penguin::BoardCell, game::penguin::PenguinPawn>*>(std::move_iterator<game::Move<game::penguin::BoardCell, game::penguin::PenguinPawn>*>, std::move_iterator<game::Move<game::penguin::BoardCell, game::penguin::PenguinPawn>*>, game::Move<game::penguin::BoardCell, game::penguin::PenguinPawn>*)
  0.58      1.52     0.01   411444     0.00     0.00  game::Move<game::penguin::BoardCell, game::penguin::PenguinPawn>* std::__uninitialized_copy<false>::__uninit_copy<std::move_iterator<game::Move<game::penguin::BoardCell, game::penguin::PenguinPawn>*>, game::Move<game::penguin::BoardCell, game::penguin::PenguinPawn>*>(std::move_iterator<game::Move<game::penguin::BoardCell, game::penguin::PenguinPawn>*>, std::move_iterator<game::Move<game::penguin::BoardCell, game::penguin::PenguinPawn>*>, game::Move<game::penguin::BoardCell, game::penguin::PenguinPawn>*)
  0.58      1.53     0.01   298247     0.00     0.00  __gnu_cxx::__normal_iterator<game::penguin::PenguinPawn**, std::vector<game::penguin::PenguinPawn*, std::allocator<game::penguin::PenguinPawn*> > >::base() const
  0.58      1.54     0.01   211170     0.00     0.00  std::vector<game::Move<game::penguin::BoardCell, game::penguin::PenguinPawn>, std::allocator<game::Move<game::penguin::BoardCell, game::penguin::PenguinPawn> > >::_M_check_len(unsigned long, char const*) const
  0.58      1.55     0.01   210932     0.00     0.00  std::vector<game::Move<game::penguin::BoardCell, game::penguin::PenguinPawn>, std::allocator<game::Move<game::penguin::BoardCell, game::penguin::PenguinPawn> > >::begin()
  0.58      1.56     0.01   209921     0.00     0.00  void std::vector<game::Move<game::penguin::BoardCell, game::penguin::PenguinPawn>, std::allocator<game::Move<game::penguin::BoardCell, game::penguin::PenguinPawn> > >::_M_realloc_insert<game::Move<game::penguin::BoardCell, game::penguin::PenguinPawn> >(__gnu_cxx::__normal_iterator<game::Move<game::penguin::BoardCell, game::penguin::PenguinPawn>*, std::vector<game::Move<game::penguin::BoardCell, game::penguin::PenguinPawn>, std::allocator<game::Move<game::penguin::BoardCell, game::penguin::PenguinPawn> > > >, game::Move<game::penguin::BoardCell, game::penguin::PenguinPawn>&&)
  0.58      1.57     0.01   147590     0.00     0.00  game::hex_axial_to_cube(game::Position const&)
  0.58      1.58     0.01   101533     0.00     0.00  std::back_insert_iterator<std::vector<game::Move<game::penguin::BoardCell, game::penguin::PenguinPawn>, std::allocator<game::Move<game::penguin::BoardCell, game::penguin::PenguinPawn> > > > std::transform<__gnu_cxx::__normal_iterator<game::penguin::BoardCell**, std::vector<game::penguin::BoardCell*, std::allocator<game::penguin::BoardCell*> > >, std::back_insert_iterator<std::vector<game::Move<game::penguin::BoardCell, game::penguin::PenguinPawn>, std::allocator<game::Move<game::penguin::BoardCell, game::penguin::PenguinPawn> > > >, game::penguin::PenguinGame::getAvailableMoves(game::penguin::HumanPlayer*)::{lambda(game::penguin::BoardCell*)#1}>(__gnu_cxx::__normal_iterator<game::penguin::BoardCell**, std::vector<game::penguin::BoardCell*, std::allocator<game::penguin::BoardCell*> > >, std::back_insert_iterator<std::vector<game::Move<game::penguin::BoardCell, game::penguin::PenguinPawn>, std::allocator<game::Move<game::penguin::BoardCell, game::penguin::PenguinPawn> > > >, game::penguin::PenguinGame::getAvailableMoves(game::penguin::HumanPlayer*)::{lambda(game::penguin::BoardCell*)#1}, game::penguin::PenguinGame::getAvailableMoves(game::penguin::HumanPlayer*)::{lambda(game::penguin::BoardCell*)#1})
  0.58      1.59     0.01    87630     0.00     0.00  __gnu_cxx::new_allocator<game::penguin::BoardCell*>::deallocate(game::penguin::BoardCell**, unsigned long)
  0.58      1.60     0.01    75805     0.00     0.00  std::deque<game::Move<game::penguin::BoardCell, game::penguin::PenguinPawn>, std::allocator<game::Move<game::penguin::BoardCell, game::penguin::PenguinPawn> > >::end()
  0.58      1.61     0.01    74879     0.00     0.00  game::penguin::Board::revertMove()
  0.58      1.62     0.01    72957     0.00     0.00  game::History<game::penguin::BoardCell, game::penguin::PenguinPawn>::enqueue(game::Move<game::penguin::BoardCell, game::penguin::PenguinPawn> const&)
  0.58      1.63     0.01    53744     0.00     0.00  std::move_iterator<mcts::Node<game::penguin::BoardCell, game::penguin::PenguinPawn>**> std::__make_move_if_noexcept_iterator<mcts::Node<game::penguin::BoardCell, game::penguin::PenguinPawn>*, std::move_iterator<mcts::Node<game::penguin::BoardCell, game::penguin::PenguinPawn>**> >(mcts::Node<game::penguin::BoardCell, game::penguin::PenguinPawn>**)
  0.58      1.64     0.01    41951     0.00     0.00  std::vector<mcts::Node<game::penguin::BoardCell, game::penguin::PenguinPawn>*, std::allocator<mcts::Node<game::penguin::BoardCell, game::penguin::PenguinPawn>*> >::vector()
  0.58      1.65     0.01    39532     0.00     0.00  std::_Vector_base<mcts::Node<game::penguin::BoardCell, game::penguin::PenguinPawn>*, std::allocator<mcts::Node<game::penguin::BoardCell, game::penguin::PenguinPawn>*> >::_Vector_impl::_Vector_impl()
  0.58      1.66     0.01       63     0.16     0.16  void std::vector<game::penguin::PenguinPawn*, std::allocator<game::penguin::PenguinPawn*> >::_M_realloc_insert<game::penguin::PenguinPawn* const&>(__gnu_cxx::__normal_iterator<game::penguin::PenguinPawn**, std::vector<game::penguin::PenguinPawn*, std::allocator<game::penguin::PenguinPawn*> > >, game::penguin::PenguinPawn* const&)
  0.58      1.67     0.01                             game::Move<game::tic_tac_toe::BoardCell, game::tic_tac_toe::Player>** std::copy_backward<game::Move<game::tic_tac_toe::BoardCell, game::tic_tac_toe::Player>**, game::Move<game::tic_tac_toe::BoardCell, game::tic_tac_toe::Player>**>(game::Move<game::tic_tac_toe::BoardCell, game::tic_tac_toe::Player>**, game::Move<game::tic_tac_toe::BoardCell, game::tic_tac_toe::Player>**, game::Move<game::tic_tac_toe::BoardCell, game::tic_tac_toe::Player>**)
  0.29      1.68     0.01  1036559     0.00     0.00  bool std::operator==<game::Move<game::penguin::BoardCell, game::penguin::PenguinPawn>*>(std::move_iterator<game::Move<game::penguin::BoardCell, game::penguin::PenguinPawn>*> const&, std::move_iterator<game::Move<game::penguin::BoardCell, game::penguin::PenguinPawn>*> const&)
  0.29      1.68     0.01   945013     0.00     0.00  std::remove_reference<game::Move<game::penguin::BoardCell, game::penguin::PenguinPawn>&>::type&& std::move<game::Move<game::penguin::BoardCell, game::penguin::PenguinPawn>&>(game::Move<game::penguin::BoardCell, game::penguin::PenguinPawn>&)
  0.29      1.69     0.01   916269     0.00     0.00  __gnu_cxx::__normal_iterator<game::Move<game::penguin::BoardCell, game::penguin::PenguinPawn>*, std::vector<game::Move<game::penguin::BoardCell, game::penguin::PenguinPawn>, std::allocator<game::Move<game::penguin::BoardCell, game::penguin::PenguinPawn> > > >::base() const
  0.29      1.69     0.01   833966     0.00     0.00  std::move_iterator<game::Move<game::penguin::BoardCell, game::penguin::PenguinPawn>*>::move_iterator(game::Move<game::penguin::BoardCell, game::penguin::PenguinPawn>*)
  0.29      1.70     0.01   465823     0.00     0.00  std::vector<game::Move<game::penguin::BoardCell, game::penguin::PenguinPawn>, std::allocator<game::Move<game::penguin::BoardCell, game::penguin::PenguinPawn> > >::push_back(game::Move<game::penguin::BoardCell, game::penguin::PenguinPawn>&&)
  0.29      1.70     0.01   411141     0.00     0.00  std::_Vector_base<game::Move<game::penguin::BoardCell, game::penguin::PenguinPawn>, std::allocator<game::Move<game::penguin::BoardCell, game::penguin::PenguinPawn> > >::_M_get_Tp_allocator() const
  0.29      1.71     0.01    59724     0.00     0.00  game::penguin::PenguinGame::getPlayerToPlay() const
  0.29      1.71     0.01      116     0.04     0.04  __gnu_cxx::__normal_iterator<game::Move<game::penguin::BoardCell, game::penguin::PenguinPawn>*, std::vector<game::Move<game::penguin::BoardCell, game::penguin::PenguinPawn>, std::allocator<game::Move<game::penguin::BoardCell, game::penguin::PenguinPawn> > > > std::__find_if<__gnu_cxx::__normal_iterator<game::Move<game::penguin::BoardCell, game::penguin::PenguinPawn>*, std::vector<game::Move<game::penguin::BoardCell, game::penguin::PenguinPawn>, std::allocator<game::Move<game::penguin::BoardCell, game::penguin::PenguinPawn> > > >, __gnu_cxx::__ops::_Iter_pred<mcts::Tree<game::penguin::BoardCell, game::penguin::HumanPlayer, game::penguin::PenguinPawn>::moveRootToMove(game::Move<game::penguin::BoardCell, game::penguin::PenguinPawn> const&)::{lambda(game::Move<game::penguin::BoardCell, game::penguin::PenguinPawn> const&)#3}> >(__gnu_cxx::__ops::_Iter_pred<mcts::Tree<game::penguin::BoardCell, game::penguin::HumanPlayer, game::penguin::PenguinPawn>::moveRootToMove(game::Move<game::penguin::BoardCell, game::penguin::PenguinPawn> const&)::{lambda(game::Move<game::penguin::BoardCell, game::penguin::PenguinPawn> const&)#3}>, __gnu_cxx::__ops::_Iter_pred<mcts::Tree<game::penguin::BoardCell, game::penguin::HumanPlayer, game::penguin::PenguinPawn>::moveRootToMove(game::Move<game::penguin::BoardCell, game::penguin::PenguinPawn> const&)::{lambda(game::Move<game::penguin::BoardCell, game::penguin::PenguinPawn> const&)#3}>, __gnu_cxx::__ops::_Iter_pred<mcts::Tree<game::penguin::BoardCell, game::penguin::HumanPlayer, game::penguin::PenguinPawn>::moveRootToMove(game::Move<game::penguin::BoardCell, game::penguin::PenguinPawn> const&)::{lambda(game::Move<game::penguin::BoardCell, game::penguin::PenguinPawn> const&)#3}>)
  0.00      1.71     0.00  1349198     0.00     0.00  __gnu_cxx::__normal_iterator<mcts::Node<game::penguin::BoardCell, game::penguin::PenguinPawn>**, std::vector<mcts::Node<game::penguin::BoardCell, game::penguin::PenguinPawn>*, std::allocator<mcts::Node<game::penguin::BoardCell, game::penguin::PenguinPawn>*> > >::base() const
  0.00      1.71     0.00  1141373     0.00     0.00  __gnu_cxx::__normal_iterator<game::penguin::BoardCell**, std::vector<game::penguin::BoardCell*, std::allocator<game::penguin::BoardCell*> > >::base() const
  0.00      1.71     0.00   884103     0.00     0.00  std::vector<game::Move<game::penguin::BoardCell, game::penguin::PenguinPawn>, std::allocator<game::Move<game::penguin::BoardCell, game::penguin::PenguinPawn> > >::size() const
  0.00      1.71     0.00   832157     0.00     0.00  std::move_iterator<game::Move<game::penguin::BoardCell, game::penguin::PenguinPawn>*> std::__make_move_if_noexcept_iterator<game::Move<game::penguin::BoardCell, game::penguin::PenguinPawn>, std::move_iterator<game::Move<game::penguin::BoardCell, game::penguin::PenguinPawn>*> >(game::Move<game::penguin::BoardCell, game::penguin::PenguinPawn>*)
  0.00      1.71     0.00   689151     0.00     0.00  game::AbstractPawn<game::penguin::HumanPlayer, game::penguin::BoardCell>::getCurrentCell() const
  0.00      1.71     0.00   687020     0.00     0.00  std::_Vector_base<game::Move<game::penguin::BoardCell, game::penguin::PenguinPawn>, std::allocator<game::Move<game::penguin::BoardCell, game::penguin::PenguinPawn> > >::_M_get_Tp_allocator()
  0.00      1.71     0.00   641131     0.00     0.00  bool __gnu_cxx::operator!=<mcts::Node<game::penguin::BoardCell, game::penguin::PenguinPawn>**, std::vector<mcts::Node<game::penguin::BoardCell, game::penguin::PenguinPawn>*, std::allocator<mcts::Node<game::penguin::BoardCell, game::penguin::PenguinPawn>*> > >(__gnu_cxx::__normal_iterator<mcts::Node<game::penguin::BoardCell, game::penguin::PenguinPawn>**, std::vector<mcts::Node<game::penguin::BoardCell, game::penguin::PenguinPawn>*, std::allocator<mcts::Node<game::penguin::BoardCell, game::penguin::PenguinPawn>*> > > const&, __gnu_cxx::__normal_iterator<mcts::Node<game::penguin::BoardCell, game::penguin::PenguinPawn>**, std::vector<mcts::Node<game::penguin::BoardCell, game::penguin::PenguinPawn>*, std::allocator<mcts::Node<game::penguin::BoardCell, game::penguin::PenguinPawn>*> > > const&)
  0.00      1.71     0.00   595571     0.00     0.00  std::move_iterator<game::Move<game::penguin::BoardCell, game::penguin::PenguinPawn>*>::operator*() const
  0.00      1.71     0.00   500853     0.00     0.00  __gnu_cxx::__normal_iterator<game::penguin::BoardCell**, std::vector<game::penguin::BoardCell*, std::allocator<game::penguin::BoardCell*> > >::operator++()
  0.00      1.71     0.00   482697     0.00     0.00  void std::allocator_traits<std::allocator<game::Move<game::penguin::BoardCell, game::penguin::PenguinPawn> > >::construct<game::Move<game::penguin::BoardCell, game::penguin::PenguinPawn>, game::Move<game::penguin::BoardCell, game::penguin::PenguinPawn> >(std::allocator<game::Move<game::penguin::BoardCell, game::penguin::PenguinPawn> >&, game::Move<game::penguin::BoardCell, game::penguin::PenguinPawn>*, game::Move<game::penguin::BoardCell, game::penguin::PenguinPawn>&&)
  0.00      1.71     0.00   474523     0.00     0.00  void __gnu_cxx::new_allocator<game::Move<game::penguin::BoardCell, game::penguin::PenguinPawn> >::construct<game::Move<game::penguin::BoardCell, game::penguin::PenguinPawn>, game::Move<game::penguin::BoardCell, game::penguin::PenguinPawn> >(game::Move<game::penguin::BoardCell, game::penguin::PenguinPawn>*, game::Move<game::penguin::BoardCell, game::penguin::PenguinPawn>&&)
  0.00      1.71     0.00   472254     0.00     0.00  std::back_insert_iterator<std::vector<game::Move<game::penguin::BoardCell, game::penguin::PenguinPawn>, std::allocator<game::Move<game::penguin::BoardCell, game::penguin::PenguinPawn> > > >::operator*()
  0.00      1.71     0.00   469780     0.00     0.00  std::back_insert_iterator<std::vector<game::Move<game::penguin::BoardCell, game::penguin::PenguinPawn>, std::allocator<game::Move<game::penguin::BoardCell, game::penguin::PenguinPawn> > > >::operator++()
  0.00      1.71     0.00   424078     0.00     0.00  __gnu_cxx::__normal_iterator<mcts::Node<game::penguin::BoardCell, game::penguin::PenguinPawn>**, std::vector<mcts::Node<game::penguin::BoardCell, game::penguin::PenguinPawn>*, std::allocator<mcts::Node<game::penguin::BoardCell, game::penguin::PenguinPawn>*> > >::operator*() const
  0.00      1.71     0.00   422064     0.00     0.00  game::Move<game::penguin::BoardCell, game::penguin::PenguinPawn>* std::__uninitialized_move_if_noexcept_a<game::Move<game::penguin::BoardCell, game::penguin::PenguinPawn>*, game::Move<game::penguin::BoardCell, game::penguin::PenguinPawn>*, std::allocator<game::Move<game::penguin::BoardCell, game::penguin::PenguinPawn> > >(game::Move<game::penguin::BoardCell, game::penguin::PenguinPawn>*, game::Move<game::penguin::BoardCell, game::penguin::PenguinPawn>*, game::Move<game::penguin::BoardCell, game::penguin::PenguinPawn>*, std::allocator<game::Move<game::penguin::BoardCell, game::penguin::PenguinPawn> >&)
  0.00      1.71     0.00   417010     0.00     0.00  __gnu_cxx::__normal_iterator<mcts::Node<game::penguin::BoardCell, game::penguin::PenguinPawn>**, std::vector<mcts::Node<game::penguin::BoardCell, game::penguin::PenguinPawn>*, std::allocator<mcts::Node<game::penguin::BoardCell, game::penguin::PenguinPawn>*> > >::operator++()
  0.00      1.71     0.00   413398     0.00     0.00  std::vector<game::Move<game::penguin::BoardCell, game::penguin::PenguinPawn>, std::allocator<game::Move<game::penguin::BoardCell, game::penguin::PenguinPawn> > >::max_size() const
  0.00      1.71     0.00   412780     0.00     0.00  std::allocator_traits<std::allocator<game::Move<game::penguin::BoardCell, game::penguin::PenguinPawn> > >::max_size(std::allocator<game::Move<game::penguin::BoardCell, game::penguin::PenguinPawn> > const&)
  0.00      1.71     0.00   276951     0.00     0.00  game::penguin::HumanPlayer::getPenguins() const
  0.00      1.71     0.00   264911     0.00     0.00  void std::_Destroy<game::Move<game::penguin::BoardCell, game::penguin::PenguinPawn>*>(game::Move<game::penguin::BoardCell, game::penguin::PenguinPawn>*, game::Move<game::penguin::BoardCell, game::penguin::PenguinPawn>*)
  0.00      1.71     0.00   261280     0.00     0.00  void std::_Destroy<game::Move<game::penguin::BoardCell, game::penguin::PenguinPawn>*, game::Move<game::penguin::BoardCell, game::penguin::PenguinPawn> >(game::Move<game::penguin::BoardCell, game::penguin::PenguinPawn>*, game::Move<game::penguin::BoardCell, game::penguin::PenguinPawn>*, std::allocator<game::Move<game::penguin::BoardCell, game::penguin::PenguinPawn> >&)
  0.00      1.71     0.00   257006     0.00     0.00  std::_Vector_base<game::Move<game::penguin::BoardCell, game::penguin::PenguinPawn>, std::allocator<game::Move<game::penguin::BoardCell, game::penguin::PenguinPawn> > >::_M_deallocate(game::Move<game::penguin::BoardCell, game::penguin::PenguinPawn>*, unsigned long)
  0.00      1.71     0.00   254251     0.00     0.00  void std::_Destroy_aux<true>::__destroy<game::Move<game::penguin::BoardCell, game::penguin::PenguinPawn>*>(game::Move<game::penguin::BoardCell, game::penguin::PenguinPawn>*, game::Move<game::penguin::BoardCell, game::penguin::PenguinPawn>*)
  0.00      1.71     0.00   248075     0.00     0.00  std::_Vector_base<mcts::Node<game::penguin::BoardCell, game::penguin::PenguinPawn>*, std::allocator<mcts::Node<game::penguin::BoardCell, game::penguin::PenguinPawn>*> >::_M_get_Tp_allocator()
  0.00      1.71     0.00   244159     0.00     0.00  std::vector<mcts::Node<game::penguin::BoardCell, game::penguin::PenguinPawn>*, std::allocator<mcts::Node<game::penguin::BoardCell, game::penguin::PenguinPawn>*> >::end()
  0.00      1.71     0.00   243299     0.00     0.00  std::vector<mcts::Node<game::penguin::BoardCell, game::penguin::PenguinPawn>*, std::allocator<mcts::Node<game::penguin::BoardCell, game::penguin::PenguinPawn>*> >::begin()
  0.00      1.71     0.00   223766     0.00     0.00  unsigned long const& std::max<unsigned long>(unsigned long const&, unsigned long const&)
  0.00      1.71     0.00   220531     0.00     0.00  void std::_Destroy<mcts::Node<game::penguin::BoardCell, game::penguin::PenguinPawn>**, mcts::Node<game::penguin::BoardCell, game::penguin::PenguinPawn>*>(mcts::Node<game::penguin::BoardCell, game::penguin::PenguinPawn>**, mcts::Node<game::penguin::BoardCell, game::penguin::PenguinPawn>**, std::allocator<mcts::Node<game::penguin::BoardCell, game::penguin::PenguinPawn>*>&)
  0.00      1.71     0.00   220254     0.00     0.00  void std::_Destroy<mcts::Node<game::penguin::BoardCell, game::penguin::PenguinPawn>**>(mcts::Node<game::penguin::BoardCell, game::penguin::PenguinPawn>**, mcts::Node<game::penguin::BoardCell, game::penguin::PenguinPawn>**)
  0.00      1.71     0.00   220165     0.00     0.00  std::_Vector_base<mcts::Node<game::penguin::BoardCell, game::penguin::PenguinPawn>*, std::allocator<mcts::Node<game::penguin::BoardCell, game::penguin::PenguinPawn>*> >::_M_deallocate(mcts::Node<game::penguin::BoardCell, game::penguin::PenguinPawn>**, unsigned long)
  0.00      1.71     0.00   220151     0.00     0.00  void std::_Destroy_aux<true>::__destroy<mcts::Node<game::penguin::BoardCell, game::penguin::PenguinPawn>**>(mcts::Node<game::penguin::BoardCell, game::penguin::PenguinPawn>**, mcts::Node<game::penguin::BoardCell, game::penguin::PenguinPawn>**)
  0.00      1.71     0.00   216093     0.00     0.00  std::allocator_traits<std::allocator<game::Move<game::penguin::BoardCell, game::penguin::PenguinPawn> > >::deallocate(std::allocator<game::Move<game::penguin::BoardCell, game::penguin::PenguinPawn> >&, game::Move<game::penguin::BoardCell, game::penguin::PenguinPawn>*, unsigned long)
  0.00      1.71     0.00   213946     0.00     0.00  std::vector<game::Move<game::penguin::BoardCell, game::penguin::PenguinPawn>, std::allocator<game::Move<game::penguin::BoardCell, game::penguin::PenguinPawn> > >::end()
  0.00      1.71     0.00   211129     0.00     0.00  __gnu_cxx::new_allocator<game::Move<game::penguin::BoardCell, game::penguin::PenguinPawn> >::deallocate(game::Move<game::penguin::BoardCell, game::penguin::PenguinPawn>*, unsigned long)
  0.00      1.71     0.00   210331     0.00     0.00  std::allocator_traits<std::allocator<game::Move<game::penguin::BoardCell, game::penguin::PenguinPawn> > >::allocate(std::allocator<game::Move<game::penguin::BoardCell, game::penguin::PenguinPawn> >&, unsigned long)
  0.00      1.71     0.00   210260     0.00     0.00  std::_Vector_base<game::Move<game::penguin::BoardCell, game::penguin::PenguinPawn>, std::allocator<game::Move<game::penguin::BoardCell, game::penguin::PenguinPawn> > >::_M_allocate(unsigned long)
  0.00      1.71     0.00   209875     0.00     0.00  __gnu_cxx::new_allocator<game::Move<game::penguin::BoardCell, game::penguin::PenguinPawn> >::allocate(unsigned long, void const*)
